walk_size, nworkers, batch_size, |V|, |E|, tempo, memoria
8,1,15,14,13,1.0566697120666504,560552
8,1,15,14,13,1.1069834232330322,560172
10,1,15,12,12,2.0166854858398438,560232
10,1,15,12,12,2.2084803581237793,560156
10,1,15,12,12,2.1974079608917236,559908
10,1,15,12,12,2.361426591873169,560296
10,1,15,12,12,2.2444632053375244,560020
12,1,15,8,7,1.2157173156738281,559468
12,1,15,8,7,1.3287198543548584,559960
12,1,15,8,7,1.3131909370422363,560072
12,1,15,8,7,1.2388651371002197,559984
12,1,15,8,7,1.2403099536895752,560392
14,1,15,13,13,23.833877563476562,559560
14,1,15,13,13,21.84521174430847,559488
14,1,15,13,13,24.011013507843018,559560
14,1,15,13,13,24.954044342041016,560268
14,1,15,13,13,20.536166191101074,560620
16,1,15,7,6,0.9130725860595703,560828
16,1,15,7,6,0.7564194202423096,560148
16,1,15,7,6,0.9141199588775635,560564
16,1,15,7,6,0.7618505954742432,559976
16,1,15,7,6,0.7976016998291016,559688
18,1,15,10,9,1.512075662612915,557904
18,1,15,10,9,1.4704556465148926,558056
18,1,15,10,9,1.4272115230560303,557572
18,1,15,10,9,1.3547019958496094,557276
18,1,15,10,9,1.402099609375,557112
2,1,25,6,5,0.6210846900939941,561032
2,1,25,6,5,0.6188349723815918,560312
2,1,25,6,5,0.6089234352111816,561368
2,1,25,6,5,0.6404454708099365,560768
2,1,25,6,5,0.6293668746948242,560172
4,1,25,8,7,0.6660301685333252,560884
4,1,25,8,7,0.6736547946929932,560616
4,1,25,8,7,0.643143892288208,560864
4,1,25,8,7,0.6946871280670166,561144
4,1,25,8,7,0.620713472366333,560932
6,1,25,8,7,0.6546425819396973,560624
6,1,25,8,7,0.6541736125946045,560544
6,1,25,8,7,0.6648764610290527,560680
6,1,25,8,7,0.6457705497741699,560656
6,1,25,8,7,0.6596143245697021,560760
8,1,25,14,13,1.004560947418213,561072
8,1,25,14,13,1.0021071434020996,561528
8,1,25,14,13,0.9451580047607422,561692
8,1,25,14,13,0.8924150466918945,560864
8,1,25,14,13,0.9095969200134277,560824
10,1,25,12,12,1.8343243598937988,561216
10,1,25,12,12,1.9292552471160889,560684
10,1,25,12,12,1.893488883972168,560620
10,1,25,12,12,1.9392828941345215,560508
10,1,25,12,12,2.1164631843566895,560440
12,1,25,8,7,1.1157362461090088,560144
12,1,25,8,7,1.1845593452453613,560488
12,1,25,8,7,1.0896461009979248,559924
12,1,25,8,7,1.1566863059997559,560624
12,1,25,8,7,1.0976908206939697,560736
14,1,25,13,13,24.15259337425232,560132
14,1,25,13,13,20.83332896232605,559984
14,1,25,13,13,19.619240283966064,560460
14,1,25,13,13,20.502040147781372,559996
14,1,25,13,13,22.73571515083313,560024
16,1,25,7,6,0.9171452522277832,560148
16,1,25,7,6,0.8581721782684326,559960
16,1,25,7,6,0.8828878402709961,560568
16,1,25,7,6,0.9504616260528564,560776
16,1,25,7,6,0.9147639274597168,560372
18,1,25,10,9,1.5123200416564941,557396
18,1,25,10,9,1.318119764328003,558924
18,1,25,10,9,1.5615203380584717,558888
18,1,25,10,9,1.2206192016601562,558772
18,1,25,10,9,1.3718116283416748,557700
2,2,5,6,5,0.7853152751922607,559960
2,2,5,6,5,0.7481906414031982,559328
2,2,5,6,5,0.760521411895752,560524
2,2,5,6,5,0.7485508918762207,560184
2,2,5,6,5,0.7445905208587646,558436
4,2,5,8,7,0.7897140979766846,559396
4,2,5,8,7,0.7785394191741943,558216
4,2,5,8,7,0.7583715915679932,558652
4,2,5,8,7,0.8440866470336914,559432
4,2,5,8,7,0.7765746116638184,559660
6,2,5,8,7,0.8417842388153076,558984
6,2,5,8,7,0.7998669147491455,558248
6,2,5,8,7,0.7895054817199707,559384
6,2,5,8,7,0.7809367179870605,560408
6,2,5,8,7,0.7363104820251465,559988
8,2,5,14,13,0.9655158519744873,559552
8,2,5,14,13,0.9183101654052734,557824
8,2,5,14,13,0.9498639106750488,559736
8,2,5,14,13,0.9506001472473145,559476
8,2,5,14,13,0.9190459251403809,558028
10,2,5,12,12,1.6793429851531982,558140
