nworkers, batch_size, walk_size, speedup, eficiencia,fração, karp_flatt, |E|
2,5,2,1.3854000000000000,0.6927000000000000,0.3854000000000000,0.44362699999999999,5
2,5,4,1.3852329999999999,0.6926170000000000,0.38523299999999999,0.4438000000000000,7
2,5,6,1.4310620000000001,0.7155310000000000,0.43106200000000000,0.3975630000000000,7
2,5,8,1.306141000000000,0.6530700000000000,0.3061410000000000,0.5312290000000000,7
2,5,10,1.1929259999999999,0.5964630000000000,0.1929260000000000,0.6765490000000000,10
2,5,12,1.1655800000000001,0.5827900000000000,0.16558000000000000,0.7158840000000000,7
2,5,14,1.2618609999999999,0.6309300000000000,0.26186100000000001,0.5849610000000000,14
2,5,16,1.3050710000000001,0.6525360000000000,0.30507099999999998,0.5324830000000000,10
2,5,18,1.383663000000000,0.6918320000000000,0.3836630000000000,0.4454380000000000,7
2,15,2,1.421208000000000,0.7106040000000000,0.42120800000000003,0.4072540000000000,5
2,15,4,1.5598890000000001,0.7799440000000000,0.5598890000000000,0.28214299999999998,7
2,15,6,1.5014050000000001,0.7507020000000000,0.5014050000000000,0.33208599999999999,7
2,15,8,1.4838330000000000,0.7419160000000000,0.4838330000000000,0.3478610000000000,7
2,15,10,1.521420000000000,0.760710000000000,0.5214200000000000,0.31456099999999998,10
2,15,12,1.4124159999999999,0.7062079999999999,0.41241600000000000,0.4160140000000000,7
2,15,14,1.3389290000000000,0.6694650000000000,0.33892899999999998,0.4937310000000000,14
2,15,16,1.406310000000000,0.7031550000000000,0.4063100000000000,0.4221620000000000,10
2,15,18,1.397257000000000,0.6986289999999999,0.39725700000000003,0.4313760000000000,7
2,25,2,1.539318000000000,0.7696590000000000,0.539318000000000,0.2992770000000000,5
2,25,4,1.5173250000000000,0.7586619999999999,0.5173250000000000,0.31811000000000000,7
2,25,6,1.5068680000000001,0.7534340000000000,0.5068680000000000,0.327256000000000,7
2,25,8,1.469881000000000,0.734941000000000,0.4698810000000000,0.36065399999999997,7
2,25,10,1.4373020000000001,0.7186510000000000,0.4373020000000000,0.3914960000000000,10
2,25,12,1.4791010000000000,0.7395500000000000,0.4791010000000000,0.35217300000000001,7
2,25,14,1.4003950000000001,0.7001970000000000,0.4003950000000000,0.4281690000000000,14
2,25,16,1.5798310000000000,0.7899150000000000,0.5798310000000000,0.26595800000000003,10
2,25,18,1.5140240000000000,0.7570120000000000,0.5140240000000000,0.3209830000000000,7
4,5,2,1.8187040000000001,0.45467600000000002,0.2729010000000000,0.399790000000000,5
4,5,4,1.8206970000000000,0.4551740000000000,0.27356599999999998,0.39898699999999998,7
4,5,6,1.8620000000000001,0.46550000000000002,0.28733300000000001,0.3827430000000000,7
4,5,8,1.7656950000000000,0.44142399999999998,0.2552320000000000,0.42179899999999998,7
4,5,10,1.7049490000000000,0.4262370000000000,0.23498300000000000,0.448704000000000,10
4,5,12,1.7225500000000000,0.4306380000000000,0.24085000000000001,0.4407130000000000,7
4,5,14,1.9110609999999999,0.47776500000000000,0.30368699999999998,0.36436000000000002,14
4,5,16,1.9219079999999999,0.4804770000000000,0.3073030000000000,0.36042200000000002,10
4,5,18,1.7599940000000001,0.43999800000000000,0.2533310000000000,0.4242450000000000,7
4,15,2,1.9378740000000001,0.48446899999999998,0.3126250000000000,0.35470600000000002,5
