nworkers, batch_size, walk_size, |E|, media de tempo, limite inferior, limete superior
1,5,2,5,0.46560330390930177,0.4546148142503675,0.47659179356823606
1,5,4,7,0.5083990097045898,0.4941644455466695,0.5226335738625102
1,5,6,7,0.5185798168182373,0.4961863591434078,0.5409732744930668
1,5,8,7,0.5526223182678223,0.5355008945475546,0.56974374198809
1,5,10,10,0.9049771785736084,0.8453498003149698,0.964604556832247
1,5,12,7,0.6175413608551026,0.5800925452441178,0.6549901764660874
1,5,14,14,2.4021015644073485,2.310463412576972,2.493739716237725
1,5,16,10,0.769825553894043,0.7548995687657214,0.7847515390223645
1,5,18,7,0.5445637702941895,0.5391760287987855,0.5499515117895935
1,15,2,5,0.19885292053222656,0.18047246810674072,0.2172333729577124
1,15,4,7,0.27527103424072263,0.2557037945595342,0.2948382739219111
1,15,6,7,0.2654515266418457,0.2559887863030201,0.2749142669806713
1,15,8,7,0.28547325134277346,0.2760764826059233,0.2948700200796236
1,15,10,10,0.5929908275604248,0.5550740055759816,0.6309076495448679
1,15,12,7,0.31488838195800783,0.2911876810829084,0.3385890828331073
1,15,14,14,2.1612335681915282,2.0143277708093357,2.308139365573721
1,15,16,10,0.5325384140014648,0.5002021097477346,0.5648747182551951
1,15,18,7,0.28287229537963865,0.2728478684053762,0.2928967223539011
1,25,2,5,0.17590994834899903,0.16323876276089896,0.1885811339370991
1,25,4,7,0.22946538925170898,0.22008937304700207,0.23884140545641588
1,25,6,7,0.22103514671325683,0.2117369214334973,0.23033337199301637
1,25,8,7,0.25831003189086915,0.2444766911715197,0.2721433726102186
1,25,10,10,0.5628775119781494,0.5022779344675781,0.6234770894887207
1,25,12,7,0.25939326286315917,0.2467275327635541,0.2720589929627642
1,25,14,14,2.079849100112915,1.9167379042611294,2.242960295964701
1,25,16,10,0.4820389747619629,0.44034753126082415,0.5237304182631016
1,25,18,7,0.2543997287750244,0.2411383826969233,0.2676610748531255
2,5,2,5,0.3268440723419189,0.30180869628710294,0.3518794483967349
2,5,4,7,0.39540667533874513,0.3519882354574575,0.43882511522003276
2,5,6,7,0.4141371250152588,0.3779254396977209,0.45034881033279667
2,5,8,7,0.4420107364654541,0.40559733121085983,0.4784241417200483
2,5,10,10,0.6179853916168213,0.5679619359214946,0.668008847312148
2,5,12,7,0.4153167247772217,0.3926146624606612,0.4380187870937822
2,5,14,14,1.8127446174621582,1.6823189002448358,1.9431703346794806
2,5,16,10,0.5476012229919434,0.5327126771913041,0.5624897687925826
2,5,18,7,0.396063232421875,0.3918812273806082,0.40024523746314183
2,15,2,5,0.16048212051391603,0.15192409044436164,0.1690401505834704
2,15,4,7,0.17824478149414064,0.17031018009498838,0.1861793828932929
2,15,6,7,0.18408637046813964,0.1746517251456235,0.19352101579065578
2,15,8,7,0.2051980972290039,0.19893728075800146,0.21145891370000633
2,15,10,10,0.4122313022613525,0.39740488814194946,0.42705771638075557
2,15,12,7,0.19864139556884766,0.19199072292121716,0.20529206821647816
2,15,14,14,1.457366132736206,1.3414881971414774,1.5732440683309346
2,15,16,10,0.36670656204223634,0.35082067270950357,0.3825924513749691
2,15,18,7,0.21769614219665528,0.19652629709783923,0.23886598729547134
2,25,2,5,0.1264040470123291,0.11203665050758378,0.14077144351707443
2,25,4,7,0.14822397232055665,0.13326539701054413,0.16318254763056916
2,25,6,7,0.14811415672302247,0.13955651103086514,0.1566718024151798
2,25,8,7,0.1700580596923828,0.16427018518655098,0.17584593419821462
2,25,10,10,0.34656491279602053,0.3171868610310179,0.37594296456102316
2,25,12,7,0.1836606502532959,0.16479337054749818,0.2025279299590936
2,25,14,14,1.336073637008667,1.18185164869924,1.490295625318094
2,25,16,10,0.2889613151550293,0.2636801750197452,0.3142424552903134
2,25,18,7,0.16659960746765137,0.15389450615795247,0.17930470877735027
4,5,2,5,0.2575065612792969,0.23957474669372986,0.2754383758648639
4,5,4,7,0.2861382484436035,0.2701199346655683,0.3021565622216388
4,5,6,7,0.29863877296447755,0.2838725820230095,0.3134049639059456
4,5,8,7,0.2985023021697998,0.28319535762864934,0.31380924671095023
4,5,10,10,0.42473549842834474,0.39735717421910594,0.45211382263758354
4,5,12,7,0.29611454010009763,0.2915536738781503,0.300675406322045
4,5,14,14,1.0611024856567384,1.0146470838733854,1.1075578874400913
4,5,16,10,0.3802614688873291,0.365139637962125,0.3953832998125332
4,5,18,7,0.31662735939025877,0.30014065041917926,0.3331140683613383
4,15,2,5,0.13161273002624513,0.11729581796815024,0.14592964208434003
4,15,4,7,0.13346753120422364,0.12850338627207056,0.13843167613637672
4,15,6,7,0.13295559883117675,0.12416367996807604,0.14174751769427746
4,15,8,7,0.15094962120056152,0.13780158500236261,0.16409765739876042
4,15,10,10,0.2385387420654297,0.22880560606337974,0.24827187806747963
4,15,12,7,0.1572803020477295,0.13777139675702996,0.17678920733842904
4,15,14,14,0.9177145957946777,0.8591101110124658,0.9763190805768897
4,15,16,10,0.22806096076965332,0.2224250534091008,0.23369686813020585
4,15,18,7,0.14597864151000978,0.13031139191050314,0.1616458911095164
4,25,2,5,0.09575576782226562,0.08506451613761365,0.1064470195069176
4,25,4,7,0.10166654586791993,0.09775327172943644,0.10557982000640341
4,25,6,7,0.10542840957641601,0.09848074906426493,0.11237607008856709
4,25,8,7,0.11203432083129883,0.10618816625610536,0.1178804754064923
4,25,10,10,0.20995769500732422,0.1886525581685956,0.23126283184605284
4,25,12,7,0.11656246185302735,0.11202727067071033,0.12109765303534437
4,25,14,14,0.7346725940704346,0.6989615348931676,0.7703836532477016
4,25,16,10,0.2034820556640625,0.19158974801212136,0.21537436331600363
4,25,18,7,0.12206287384033203,0.12014176528116932,0.12398398239949474
8,5,2,5,0.23374648094177247,0.20358818078443575,0.2639047810991092
8,5,4,7,0.23905439376831056,0.22376494967578422,0.25434383786083686
8,5,6,7,0.23282113075256347,0.21223786524990723,0.2534043962552197
8,5,8,7,0.24372363090515137,0.2202882781237921,0.26715898368651064
8,5,10,10,0.325638484954834,0.2893729743500566,0.3619039955596114
8,5,12,7,0.23099665641784667,0.21347346506943335,0.24851984776626
8,5,14,14,0.8467068672180176,0.7546261190696241,0.9387876153664111
8,5,16,10,0.34725184440612794,0.32784831609704923,0.36665537271520665
8,5,18,7,0.24216337203979493,0.2330813919338953,0.25124535214569454
8,15,2,5,0.09172277450561524,0.07988676062160702,0.10355878838962346
8,15,4,7,0.10077395439147949,0.0925837581592937,0.10896415062366527
8,15,6,7,0.0983044147491455,0.08850459357178475,0.10810423592650625
8,15,8,7,0.11272344589233399,0.10356154195185242,0.12188534983281556
8,15,10,10,0.19920620918273926,0.18788655392784057,0.21052586443763796
8,15,12,7,0.12061042785644531,0.10321237652876267,0.13800847918412795
8,15,14,14,0.6949545860290527,0.6262626588158017,0.7636465132423037
8,15,16,10,0.1775223731994629,0.1633305183882922,0.1917142280106336
8,15,18,7,0.11481904983520508,0.10294488766763898,0.12669321200277117
8,25,2,5,0.07712445259094239,0.062936192683223,0.09131271249866178
8,25,4,7,0.09541049003601074,0.08261734463511107,0.1082036354369104
8,25,6,7,0.09936904907226562,0.07881382723091028,0.11992427091362097
8,25,8,7,0.12145400047302246,0.09643209987163673,0.1464759010744082
8,25,10,10,0.2031259536743164,0.17939624415459637,0.22685566319403644
8,25,12,7,0.11241440773010254,0.08999191039168448,0.13483690506852058
8,25,14,14,0.7580513954162598,0.728980049428747,0.7871227414037726
8,25,16,10,0.19444537162780762,0.18059921478760746,0.20829152846800777
8,25,18,7,0.11096725463867188,0.0944755397778719,0.12745896949947186
