nworkers, batch_size, walk_size, speedup, eficiencia,fração, karp_flatt, |E|
2,5,2,1.3296718059833914,0.6648359029916957,0.3296718059833914,0.5041305613913134,5
2,5,4,1.4327000186456744,0.7163500093228372,0.4327000186456744,0.39596564107718235,7
2,5,6,1.4474082360484146,0.7237041180242073,0.4474082360484146,0.38178017105956386,7
2,5,8,1.5064477657547404,0.7532238828773702,0.5064477657547404,0.3276265168065662,13
2,5,10,1.419460102710961,0.7097300513554805,0.419460102710961,0.40898641404594094,12
2,5,12,1.5162483721700657,0.7581241860850328,0.5162483721700657,0.3190451094351947,7
2,5,14,1.5132274742469611,0.7566137371234806,0.5132274742469611,0.32167835572459125,13
2,5,16,1.2305122871497802,0.6152561435748901,0.23051228714978023,0.6253393167105825,6
2,5,18,1.5370770284597703,0.7685385142298852,0.5370770284597703,0.30117096473954996,9
2,15,2,1.289462938086303,0.6447314690431515,0.28946293808630297,0.5510333340547251,5
2,15,4,1.3896909363255676,0.6948454681627838,0.3896909363255676,0.4391689171465196,7
2,15,6,1.3101410103580537,0.6550705051790269,0.31014101035805375,0.5265532367797661,7
2,15,8,1.446066929940332,0.723033464970166,0.4460669299403319,0.38306184768537976,13
2,15,10,1.5799878981993662,0.7899939490996831,0.5799878981993662,0.2658324802862735,12
2,15,12,1.404472788447027,0.7022363942235135,0.40447278844702694,0.42402189380362976,7
2,15,14,1.5110359039844166,0.7555179519922083,0.5110359039844166,0.32359528633717116,13
2,15,16,1.2371196896947552,0.6185598448473776,0.23711968969475516,0.6166584499948236,6
2,15,18,1.5291817817427027,0.7645908908713513,0.5291817817427027,0.30788897950428007,9
2,25,2,1.1729069440675908,0.5864534720337954,0.17290694406759077,0.7051651114487276,5
2,25,4,1.1795976120821257,0.5897988060410628,0.17959761208212566,0.6954934288734016,7
2,25,6,1.1667916446763908,0.5833958223381954,0.16679164467639085,0.7141020927988382,7
2,25,8,1.2638381235881366,0.6319190617940683,0.26383812358813663,0.5824811442796498,13
2,25,10,1.277059423635612,0.638529711817806,0.2770594236356121,0.5660978361572837,12
2,25,12,1.3974684523150709,0.6987342261575354,0.3974684523150709,0.4311593200453039,7
2,25,14,1.474857712610194,0.737428856305097,0.47485771261019405,0.3560630174014634,13
2,25,16,1.4756898997230723,0.7378449498615361,0.4756898997230723,0.3552982915823437,6
2,25,18,1.491166105977612,0.745583052988806,0.491166105977612,0.3412322020884422,9
4,5,2,1.2255808145486602,0.30639520363716505,0.0751936048495534,0.754586220812392,5
4,5,4,1.4813137080935534,0.37032842702338836,0.16043790269785116,0.5667686005435425,7
4,5,6,1.5769738532271547,0.39424346330678867,0.19232461774238488,0.5121678971434879,7
4,5,8,1.758683186760758,0.4396707966901895,0.25289439558691934,0.4248096587476577,13
4,5,10,1.8557012088744218,0.46392530221860545,0.2852337362914739,0.3851731411772203,12
4,5,12,1.9928914534023663,0.49822286335059157,0.33096381780078876,0.3357113008121935,7
4,5,14,2.17815468621349,0.5445386715533725,0.3927182287378301,0.27880562161444566,13
4,5,16,1.81154823513112,0.45288705878278,0.27051607837704,0.40268534255736216,6
4,5,18,1.880840886350329,0.47021022158758224,0.293613628783443,0.37556944680592413,9
4,15,2,1.2125848726903627,0.3031462181725907,0.07086162423012092,0.7662460555922977,5
4,15,4,1.6489483165428087,0.4122370791357022,0.21631610551426958,0.47526286095418985,7
4,15,6,1.4566702666769829,0.3641675666692457,0.15222342222566096,0.5819962122988357,7
4,15,8,1.8153012062109812,0.4538253015527453,0.27176706873699374,0.40116369050567807,13
4,15,10,2.199398094480956,0.549849523620239,0.3997993648269853,0.2728931322979336,12
4,15,12,2.020757899045734,0.5051894747614335,0.34025263301524467,0.3264851110052862,7
4,15,14,2.2775818229054923,0.5693954557263731,0.4258606076351641,0.2520828830783392,13
4,15,16,1.5934321031261023,0.39835802578152557,0.1978107010420341,0.5034348795811111,6
4,15,18,2.6359065693635486,0.6589766423408872,0.5453021897878495,0.17250148980885135,9
4,25,2,2.029473044986333,0.5073682612465833,0.3431576816621111,0.3236516592130014,5
4,25,4,2.1313819231741062,0.5328454807935266,0.3771273077247021,0.2922388922899846,7
4,25,6,2.1448320323574794,0.5362080080893699,0.38161067745249316,0.28831596750623306,7
4,25,8,2.358828677636733,0.5897071694091832,0.4529428925455776,0.2319189658159103,13
4,25,10,2.3007606683498874,0.5751901670874718,0.43358688944996243,0.24618515012961809,12
4,25,12,2.874445302464054,0.7186113256160135,0.6248151008213513,0.1305242784954126,7
4,25,14,2.6790616604018447,0.6697654151004612,0.5596872201339482,0.16435335788427027,13
4,25,16,2.6908105245526706,0.6727026311381676,0.5636035081842236,0.16218031252435527,6
4,25,18,2.7079731904298123,0.6769932976074531,0.5693243968099374,0.1590398327103472,9
8,5,2,2.293741466841062,0.28671768335513276,0.18482020954872316,0.3553930563822179,5
8,5,4,2.5209318539301964,0.31511648174127455,0.21727597913288518,0.3104899561829996,7
8,5,6,2.4323780994869937,0.3040472624358742,0.20462544278385625,0.3269946220054744,7
8,5,8,2.822135634267216,0.352766954283402,0.2603050906096023,0.26210466301080665,13
8,5,10,2.7143691067587548,0.33929613834484434,0.24490987239410783,0.2781825528907342,12
8,5,12,1.9129539919754714,0.23911924899693393,0.13042199885363878,0.4545734005073298,7
8,5,14,2.9084995993001628,0.36356244991252035,0.27264279990002327,0.25007986945399335,13
8,5,16,1.7062617586386155,0.21328271982982694,0.10089453694837365,0.5269446252894987,6
8,5,18,3.003503976802986,0.37543799710037323,0.286214853828998,0.23765080775114372,9
8,15,2,2.5647738657130237,0.32059673321412796,0.2235391236732891,0.3027404819999013,5
8,15,4,2.762978190671552,0.345372273833944,0.25185402723879313,0.2707752002122635,7
8,15,6,2.898884684256877,0.36236058553210965,0.2712692406081253,0.2513831486120957,7
8,15,8,3.1773450678032957,0.39716813347541197,0.3110492954004708,0.21683219477192178,13
8,15,10,3.6304178163933516,0.45380222704916895,0.3757739737704788,0.17194330179044245,12
8,15,12,3.6112323906680306,0.4514040488335038,0.3730331986668615,0.17361574485023873,7
8,15,14,3.5831959049109043,0.44789948811386304,0.3690279864158435,0.17609196659311474,13
8,15,16,2.5491916487806483,0.31864895609758104,0.22131309268294977,0.3054642469464854,6
8,15,18,3.855946181635697,0.48199327270446213,0.4079923116622424,0.15353110765841319,9
8,25,2,2.4514426315164113,0.3064303289395514,0.20734894735948733,0.3233406494812384,5
8,25,4,2.4630386025297737,0.3078798253162217,0.20900551464711054,0.32114579306246493,7
8,25,6,2.2627010173185673,0.2828376271648209,0.18038585961693818,0.36222821049258747,7
8,25,8,2.472085969246219,0.3090107461557774,0.21029799560660273,0.31944763014620836,13
8,25,10,2.4073388251126735,0.3009173531390842,0.2010484035875248,0.33188165624133986,12
8,25,12,3.0017918958681786,0.37522398698352233,0.2859702708383112,0.23786783159236194,7
8,25,14,2.6663271514447313,0.3332908939305914,0.2380467359206759,0.285768857608664,13
8,25,16,3.0067324304990097,0.3758415538123762,0.2866760614998585,0.23724224053477055,6
8,25,18,2.95114917343691,0.3688936466796138,0.2787355962052729,0.2444012015003437,9

