nworkers, batch_size, walk_size, speedup, eficiencia,fração, karp_flatt, |E|
2,5,2,1.4245425978606205,0.7122712989303103,0.42454259786062054,0.40395942038069066,5
2,5,4,1.2857623338529733,0.6428811669264867,0.28576233385297334,0.5554974254119809,7
2,5,6,1.2521935018482835,0.6260967509241417,0.2521935018482835,0.5971972359287336,7
2,5,8,1.2502463688707552,0.6251231844353776,0.25024636887075524,0.5996847099875489,7
2,5,10,1.4643989823221175,0.7321994911610588,0.4643989823221175,0.36574801276396185,10
2,5,12,1.48691666868546,0.74345833434273,0.48691666868546,0.3450652898848341,7
2,5,14,1.3251185750424623,0.6625592875212312,0.32511857504246233,0.50929889420342,14
2,5,16,1.405814161056702,0.702907080528351,0.4058141610567021,0.4226631480911167,10
2,5,18,1.3749414884190412,0.6874707442095206,0.3749414884190412,0.45460735372795713,7
2,15,2,1.2390970401901142,0.6195485200950571,0.23909704019011424,0.6140785871727534,5
2,15,4,1.54434273998519,0.772171369992595,0.5443427399851899,0.29504931011569346,7
2,15,6,1.4419944614410667,0.7209972307205333,0.4419944614410667,0.38696787919787634,7
2,15,8,1.3912080823253512,0.6956040411626756,0.3912080823253512,0.43759946869851163,7
2,15,10,1.4384905374907013,0.7192452687453507,0.4384905374907013,0.39034630251290636,10
2,15,12,1.5852102783322917,0.7926051391661458,0.5852102783322917,0.26166227114303386,7
2,15,14,1.4829722741901588,0.7414861370950794,0.48297227419015876,0.3486428807930253,14
2,15,16,1.4522194831630213,0.7261097415815106,0.4522194831630213,0.3772022915185518,10
2,15,18,1.299390483107903,0.6496952415539515,0.29939048310790306,0.5391831985842839,7
2,25,2,1.3916480722475701,0.6958240361237851,0.39164807224757014,0.4371449505692311,5
2,25,4,1.5480990399815728,0.7740495199907864,0.5480990399815728,0.2919070087555937,7
2,25,6,1.4923296435910485,0.7461648217955242,0.49232964359104847,0.3401864719294361,7
2,25,8,1.5189520117901198,0.7594760058950599,0.5189520117901198,0.3166972916036723,7
2,25,10,1.6241618559621616,0.8120809279810808,0.6241618559621616,0.23140436567831468,10
2,25,12,1.4123507812120697,0.7061753906060348,0.4123507812120697,0.41607880039802425,7
2,25,14,1.5566874777721726,0.7783437388860863,0.5566874777721726,0.28477939763623383,14
2,25,16,1.6681782282979518,0.8340891141489759,0.6681782282979518,0.1989126617727215,10
2,25,18,1.527012774171279,0.7635063870856394,0.5270127741712789,0.30974673809484976,7



4,5,2,1.8081220983115025,0.4520305245778756,0.2693740327705008,0.404079994327699,5
4,5,4,1.7767600538199033,0.44419001345497583,0.2589200179399678,0.41709626489337426,7
4,5,6,1.7364785277895622,0.43411963194739056,0.24549284259652074,0.43450416767544126,7
4,5,8,1.851316771263858,0.4628291928159645,0.2837722570879527,0.38687476612826915,7
4,5,10,2.1306841126355325,0.5326710281588831,0.3768947042118442,0.2924437705678533,10
4,5,12,2.085481383813003,0.5213703459532507,0.36182712793766764,0.3060074652383255,7
4,5,14,2.2637790381959553,0.5659447595489888,0.4212596793986518,0.25565230123455707,14
4,5,16,2.0244637358252597,0.5061159339563149,0.34148791194175326,0.3252772951202351,10
4,5,18,1.7198885508279398,0.42997213770698495,0.23996285027597994,0.4419106978519885,7
4,15,2,1.5108942766598106,0.37772356916495264,0.17029809221993686,0.5491462378256641,5
4,15,4,2.0624569268425303,0.5156142317106326,0.3541523089475101,0.3131448141519421,7
4,15,6,1.9965426727076647,0.4991356681769162,0.3321808909025549,0.334487771399228,7
4,15,8,1.8911822969298815,0.4727955742324704,0.2970607656432938,0.3716930068020665,7
4,15,10,2.485930890831021,0.6214827227077553,0.49531029694367373,0.2030183964155229,10
4,15,12,2.0020840363242014,0.5005210090810503,0.33402801210806715,0.3326393776730013,7
4,15,14,2.3550171023705344,0.5887542755926336,0.4516723674568448,0.23283382188231863,14
4,15,16,2.3350704662659933,0.5837676165664983,0.4450234887553311,0.23767013426885172,10
4,15,18,1.9377649528286784,0.4844412382071696,0.31258831760955946,0.3547446151232026,7
4,25,2,1.8370689552143673,0.4592672388035918,0.2790229850714558,0.392460507746381,5
4,25,4,2.25703929736945,0.5642598243423625,0.41901309912315005,0.25741107013687475,7
4,25,6,2.0965425505451396,0.5241356376362849,0.36551418351504655,0.30263436166367125,7
4,25,8,2.3056330415019177,0.5764082603754794,0.4352110138339726,0.24496048417059332,7
4,25,10,2.6809091801018,0.67022729502545,0.5603030600339333,0.16401038245889796,10
4,25,12,2.2253584793895826,0.5563396198473957,0.4084528264631942,0.26582107063445687,7
4,25,14,2.830987730996694,0.7077469327491736,0.6103292436655647,0.13764480575733384,14
4,25,16,2.3689507813788864,0.5922376953447216,0.45631692712629546,0.2295037436604086,10
4,25,18,2.084169582208916,0.521042395552229,0.3613898607363053,0.30640987408848996,7


