nworkers, batch_size, walk_size, |E|, media de tempo, limite inferior, limete superior
4,15,16,6,0.520017671585083,0.4828330361968319,0.5572023069733343
4,15,18,9,0.5437631607055664,0.5054346266115586,0.5820916947995742
4,25,2,5,0.30733647346496584,0.2817247690806771,0.33294817784925457
4,25,4,7,0.3094921112060547,0.2932360979225075,0.3257481244896019
4,25,6,7,0.305765438079834,0.29404430187536423,0.3174865742843037
4,25,8,13,0.40306768417358396,0.3877217541330118,0.4184136142141561
4,25,10,12,0.8443133354187011,0.7373258198310962,0.951300851006306
4,25,12,7,0.39272403717041016,0.3782488376765573,0.407199236664263
4,25,14,13,8.050797748565675,7.519101470001518,8.582494027129831
4,25,16,6,0.3362132549285889,0.30632226046008565,0.36610424939709213
4,25,18,9,0.5158390045166016,0.46351659541609963,0.5681614136171035
8,5,2,5,0.43908100128173827,0.39611815739592793,0.4820438451675486
8,5,4,7,0.4486656188964844,0.4244987622083658,0.47283247558460295
8,5,6,7,0.4699065685272217,0.4355837146317506,0.5042294224226928
8,5,8,13,0.5021254062652588,0.4606162499955716,0.543634562534946
8,5,10,12,0.8753422737121582,0.8169010361847722,0.9337835112395443
8,5,12,7,0.7438502311706543,0.7288906925153471,0.7588097698259615
8,5,14,13,7.532887744903564,6.98384427197816,8.081931217828968
8,5,16,6,0.6489598751068115,0.5827374852284422,0.7151822649851809
8,5,18,9,0.5782641410827637,0.5404090615366438,0.6161192206288836
8,15,2,5,0.2809159278869629,0.2568176986530403,0.3050141571208855
8,15,4,7,0.2895481109619141,0.24657250889643012,0.332523713027398
8,15,6,7,0.26168169975280764,0.24838776417871164,0.27497563532690367
8,15,8,13,0.3514111995697021,0.2915246644893601,0.41129773465004416
8,15,10,12,0.6075589179992675,0.5968699515905002,0.6182478844080349
8,15,12,7,0.3509496212005615,0.3369627733885283,0.3649364690125947
8,15,14,13,6.428915214538574,6.139759682341454,6.718070746735695
8,15,16,6,0.32504925727844236,0.2872057354299704,0.3628927791269143
8,15,18,9,0.371713924407959,0.3365756208421938,0.40685222797372417
8,25,2,5,0.25443429946899415,0.2429169434626229,0.2659516554753654
8,25,4,7,0.26781792640686036,0.2556555769183482,0.2799802758953725
8,25,6,7,0.2898374557495117,0.2466933163604067,0.3329815951386167
8,25,8,13,0.384601354598999,0.36665647762431175,0.4025462315736863
8,25,10,12,0.8069337368011474,0.7523709772517607,0.8614964963505342
8,25,12,7,0.37606329917907716,0.3592833918856009,0.39284320647255344
8,25,14,13,8.089248752593994,7.624366723821508,8.55413078136648
8,25,16,6,0.3008868217468262,0.29045402995420105,0.3113196135394513
8,25,18,9,0.47333364486694335,0.43879196496815687,0.5078753247657298
