walk_size, nworkers, batch_size, |V|, |E|, tempo, memoria
4,2,5,10,14,1.1112420558929443,556524
4,2,5,10,14,1.0982921123504639,556460
6,2,5,16,27,10.246078491210938,555260
6,2,5,16,27,10.266950845718384,555176
6,2,5,16,27,9.714921712875366,555556
6,2,5,16,27,9.993037939071655,555472
6,2,5,16,27,9.605302572250366,556384
8,2,5,8,10,1.3923134803771973,556932
8,2,5,8,10,1.3920226097106934,555264
8,2,5,8,10,1.3810789585113525,555500
8,2,5,8,10,1.4677720069885254,555576
8,2,5,8,10,1.4486279487609863,556180
10,2,5,4,6,1.0970232486724854,556324
10,2,5,4,6,1.072598934173584,556192
10,2,5,4,6,1.1145589351654053,555556
10,2,5,4,6,1.101243257522583,556400
10,2,5,4,6,1.0794479846954346,556484
12,2,5,19,36,5.522355079650879,555584
12,2,5,19,36,5.462686538696289,555044
12,2,5,19,36,5.263310670852661,555128
12,2,5,19,36,5.3896613121032715,554936
12,2,5,19,36,5.466538429260254,555288
14,2,5,24,51,3.157630681991577,554624
14,2,5,24,51,3.450300693511963,554740
14,2,5,24,51,3.228574752807617,554408
14,2,5,24,51,3.06306529045105,554800
14,2,5,24,51,2.969265937805176,554800
16,2,5,16,30,66.37998843193054,555408
16,2,5,16,30,68.47300934791565,555100
16,2,5,16,30,62.98403573036194,555012
16,2,5,16,30,64.87101459503174,555280
16,2,5,16,30,65.12261629104614,554836
18,2,5,16,24,1.326843500137329,556752
18,2,5,16,24,1.2950575351715088,556092
18,2,5,16,24,1.269531011581421,556252
18,2,5,16,24,1.277082920074463,555040
18,2,5,16,24,1.1995131969451904,556972
2,2,15,13,17,39.00178408622742,555804
2,2,15,13,17,38.59894633293152,555728
2,2,15,13,17,38.53167676925659,555792
2,2,15,13,17,38.31406283378601,556256
2,2,15,13,17,38.64614510536194,556592
4,2,15,10,14,0.9022610187530518,557108
4,2,15,10,14,0.7632591724395752,557368
4,2,15,10,14,0.7559628486633301,556956
4,2,15,10,14,0.8448798656463623,558044
4,2,15,10,14,0.8457949161529541,557336
6,2,15,16,27,9.315248012542725,555924
6,2,15,16,27,9.56220006942749,555632
6,2,15,16,27,9.127875328063965,556056
6,2,15,16,27,9.624675035476685,555860
6,2,15,16,27,9.196933507919312,556888
8,2,15,8,10,1.3432862758636475,557084
8,2,15,8,10,1.4266560077667236,557308
8,2,15,8,10,1.433290719985962,557124
8,2,15,8,10,1.4161667823791504,556984
8,2,15,8,10,1.3945832252502441,556980
10,2,15,4,6,0.8554022312164307,557672
10,2,15,4,6,0.9275672435760498,557604
10,2,15,4,6,0.8330206871032715,557340
10,2,15,4,6,0.7911815643310547,557716
10,2,15,4,6,0.7435927391052246,558284
12,2,15,19,36,4.961704969406128,556744
12,2,15,19,36,5.555047988891602,556128
12,2,15,19,36,4.986645221710205,555904
12,2,15,19,36,5.171512126922607,555920
12,2,15,19,36,5.304003000259399,555844
14,2,15,24,51,2.3343586921691895,554228
14,2,15,24,51,2.144479751586914,555012
14,2,15,24,51,2.4125373363494873,554912
14,2,15,24,51,2.2706351280212402,554516
14,2,15,24,51,2.1416444778442383,554184
16,2,15,16,30,50.25565218925476,556896
16,2,15,16,30,53.35213017463684,556092
16,2,15,16,30,49.74975275993347,556104
16,2,15,16,30,51.14707565307617,555640
16,2,15,16,30,51.99972724914551,555824
18,2,15,16,24,0.9208226203918457,557108
18,2,15,16,24,0.9494040012359619,556912
18,2,15,16,24,0.909782886505127,556536
18,2,15,16,24,0.9792969226837158,557724
18,2,15,16,24,0.9818518161773682,557988
2,2,25,13,17,33.755879402160645,556028
2,2,25,13,17,34.476412296295166,555960
2,2,25,13,17,32.73183536529541,556012
2,2,25,13,17,34.94973826408386,555864
2,2,25,13,17,31.555744409561157,556336
4,2,25,10,14,0.7508041858673096,558112
4,2,25,10,14,0.772369384765625,557880
4,2,25,10,14,1.1751277446746826,556744
4,2,25,10,14,1.4145498275756836,556596
4,2,25,10,14,0.8250269889831543,557168
6,2,25,16,27,10.400235891342163,556448
6,2,25,16,27,9.817465543746948,556108
6,2,25,16,27,7.536736249923706,556104
6,2,25,16,27,9.246003866195679,556944
6,2,25,16,27,10.003114461898804,556060
8,2,25,8,10,1.187957525253296,557676
8,2,25,8,10,1.282364845275879,557744
8,2,25,8,10,1.0815637111663818,557680
8,2,25,8,10,1.0285029411315918,558020
8,2,25,8,10,1.2047784328460693,557320
10,2,25,4,6,0.7763731479644775,557904
10,2,25,4,6,0.7643616199493408,557952
10,2,25,4,6,0.8106827735900879,557728
10,2,25,4,6,0.802664041519165,557768
10,2,25,4,6,0.7621304988861084,557784
12,2,25,19,36,4.352980136871338,556272
12,2,25,19,36,4.902212142944336,556324
12,2,25,19,36,4.41489315032959,556352
12,2,25,19,36,4.7175726890563965,557032
12,2,25,19,36,4.851944923400879,556636
14,2,25,24,51,1.7225768566131592,554616
14,2,25,24,51,2.184000015258789,555880
14,2,25,24,51,2.127746820449829,555684
14,2,25,24,51,1.837289810180664,555576
14,2,25,24,51,1.9725837707519531,554668
16,2,25,16,30,43.82154083251953,556112
16,2,25,16,30,43.68864727020264,555780
16,2,25,16,30,44.17423629760742,556244
16,2,25,16,30,45.26120948791504,556548
16,2,25,16,30,44.19252014160156,557396
18,2,25,16,24,0.9078936576843262,558092
18,2,25,16,24,0.8374390602111816,558336
18,2,25,16,24,0.8704428672790527,557604
18,2,25,16,24,0.8899505138397217,557432
18,2,25,16,24,0.867434024810791,557864
2,4,5,13,17,29.977521181106567,555980
2,4,5,13,17,31.742189407348633,555808
2,4,5,13,17,29.461334705352783,556436
2,4,5,13,17,28.669437646865845,555132
2,4,5,13,17,28.699270725250244,556236
4,4,5,10,14,0.7797660827636719,554928
4,4,5,10,14,0.8070163726806641,556072
4,4,5,10,14,0.7644026279449463,554568
4,4,5,10,14,0.7494871616363525,556032
4,4,5,10,14,0.7754898071289062,555940
6,4,5,16,27,6.014760494232178,555436
6,4,5,16,27,5.897959232330322,554300
6,4,5,16,27,6.1570305824279785,555172
6,4,5,16,27,5.75913667678833,554328
6,4,5,16,27,6.3383753299713135,555844
8,4,5,8,10,0.9044497013092041,554312
8,4,5,8,10,0.9364516735076904,554668
8,4,5,8,10,0.9607653617858887,554604
8,4,5,8,10,0.92759108543396,554092
8,4,5,8,10,0.9260044097900391,555500
10,4,5,4,6,1.069117784500122,555660
10,4,5,4,6,0.7881078720092773,555664
10,4,5,4,6,0.7947015762329102,555680
10,4,5,4,6,0.8572533130645752,555400
10,4,5,4,6,0.833728551864624,555664
12,4,5,19,36,3.190312147140503,555248
12,4,5,19,36,3.468959093093872,555112
12,4,5,19,36,3.9716861248016357,554616
12,4,5,19,36,3.710740804672241,555172
12,4,5,19,36,3.6739981174468994,554124
